95,166,130
98,169,133
100,168,135
100,168,135
99,166,135
101,169,138
103,170,139
103,170,139
101,170,139
101,170,139
102,171,140
102,171,140
102,171,140
103,172,141
104,174,142
104,174,142
104,174,142
104,174,142
103,172,141
104,174,142
105,175,143
104,174,142
103,172,141
105,175,143
104,173,144
103,172,143
106,172,144
108,175,146
105,174,145
106,175,146
108,176,147
106,175,146
106,176,145
104,174,142
105,174,145
105,174,145
107,174,145
107,174,145
108,175,146
107,174,145
108,174,148
108,174,148
106,175,146
105,174,145
103,174,145
103,174,145
104,176,146
102,173,144
105,173,147
106,174,148
105,173,147
105,173,147
105,173,147
105,173,147
104,173,144
105,174,145
105,173,147
108,175,149
108,175,149
106,174,148
106,177,147
103,174,145
102,173,144
103,174,145
102,173,144
101,172,143
102,173,144
102,173,144
102,173,144
102,173,144
103,174,145
103,174,145
104,176,145
104,176,145
104,176,145
104,176,145
105,175,143
106,176,145
105,174,145
105,174,145
103,174,145
102,173,144
104,176,146
103,174,145
102,174,142
101,173,141
102,174,142
101,173,141
102,174,142
103,175,143
101,173,141
103,175,143
102,173,144
103,174,145
104,176,146
103,174,145
103,175,143
103,175,143
103,175,143
102,174,142
103,174,145
102,173,144
102,173,144
102,173,144
102,174,142
102,174,142
103,175,143
104,176,145
103,174,147
102,172,145
102,173,144
100,171,141
103,172,141
104,174,142
103,175,143
103,175,143
103,174,145
102,173,144
104,176,146
103,174,145
102,173,144
102,173,144
103,174,145
102,173,144
101,173,141
101,173,141
103,174,145
100,171,141
102,174,142
103,175,143
104,174,142
105,175,143
104,173,144
105,174,145
104,173,144
103,172,143
102,171,140
105,175,143
104,174,142
105,175,143
104,174,142
104,174,142
103,175,143
103,175,143
103,174,145
104,176,146
103,174,145
103,174,145
105,174,145
105,174,145
105,174,145
104,173,144
101,172,143
101,172,143
101,172,143
102,173,144
102,174,142
101,173,141
101,173,141
102,174,142
104,173,144
104,173,144
103,174,145
104,176,146
103,174,147
103,174,147
101,171,144
103,174,147
103,174,147
103,174,147
102,173,144
103,174,145
103,174,145
102,173,144
102,173,144
102,173,144
104,176,146
103,174,145
102,173,144
102,173,144
102,174,142
102,174,142
101,172,143
102,173,144
101,172,143
101,172,143
103,174,145
102,173,144
103,174,145
103,174,145
101,171,144
102,172,145
103,174,145
